,지역,년,주,주 평균 일교차(°C),전날 대비 최고 기온 상승 최대 변화(°C),전날 대비 최저 기온 하강 최대 변화(°C),주평균 최대 풍속(m/s),주평균 평균 풍속(m/s),SO2_최대값,CO_최대값,O3_최대값,NO2_최대값,PM10_최대값,PM25_최대값,풍향(N~NE),풍향(NE~E),풍향(E~SE),풍향(SE~S),풍향(S~SW),풍향(SW~W),풍향(W~NW),풍향(NW~N),환자 수,100만명 당 환자수,주 평균 기온(°C) 5도 미만,주 평균 기온(°C) 5도 이상 10도 미만,주 평균 기온(°C) 10도 이상 15도 미만,주 평균 기온(°C) 15도 이상 20도 미만,주 평균 기온(°C) 20도 이상 25도 미만,주 평균 기온(°C) 25도 이상,상대습도 (건조),상대습도 (적정),상대습도 (습함)
557,서울,2021,30,7.228571428571428,2.1000000000000014,1.0,4.9,2.042857142857143,0.009428571428571429,0.8714285714285713,0.12571428571428572,0.04071428571428572,62.57142857142857,41.714285714285715,0,0,0,3,0,4,0,0,291.0,30.60111312337675,0,0,0,0,0,1,0,1,0
558,울산,2021,30,8.885714285714286,1.8000000000000043,1.3000000000000007,4.9,1.6285714285714286,0.038571428571428576,1.0714285714285714,0.08085714285714286,0.038571428571428576,60.857142857142854,38.285714285714285,0,4,2,1,0,0,0,0,35.0,31.205643406871662,0,0,0,0,0,1,0,0,1
559,인천,2021,30,6.714285714285714,0.8000000000000078,1.0333333333333314,5.0,2.2142857142857144,0.008,0.7857142857142857,0.11828571428571429,0.03414285714285714,58.857142857142854,40.42857142857143,0,0,0,2,0,4,0,1,70.0,23.741891720015264,0,0,0,0,0,1,0,1,0
560,광주,2021,31,9.357142857142858,2.900000000000002,2.6000000000000014,5.6,1.0,0.01457142857142857,1.042857142857143,0.09157142857142857,0.02842857142857143,54.57142857142857,29.571428571428573,1,3,0,1,2,0,0,0,30.0,20.810052087560376,0,0,0,0,0,1,0,0,1
561,대구,2021,31,10.07142857142857,2.0,0.3000000000000007,6.1,1.4714285714285715,0.005285714285714285,0.7714285714285715,0.07771428571428572,0.026571428571428572,42.0,28.857142857142858,0,0,3,1,0,3,0,0,74.0,31.02189475025698,0,0,0,0,0,1,0,1,0
562,대전,2021,31,7.942857142857143,3.6000000000000014,1.5,7.3,1.0571428571428572,0.006285714285714285,0.6714285714285715,0.06585714285714286,0.016285714285714285,37.57142857142857,29.571428571428573,0,1,0,3,0,3,0,0,63.0,43.38093070688194,0,0,0,0,0,1,0,0,1
563,부산,2021,31,6.057142857142858,2.3999999999999986,0.6999999999999993,7.1,2.257142857142857,0.007714285714285714,0.6142857142857142,0.08271428571428571,0.037142857142857144,69.28571428571429,37.285714285714285,0,0,3,3,0,0,0,1,76.0,22.68399405440577,0,0,0,0,0,1,0,1,0
564,서울,2021,31,6.957142857142857,2.799999999999997,2.1999999999999993,8.3,1.9142857142857144,0.016999999999999998,0.8142857142857143,0.09014285714285715,0.033999999999999996,54.285714285714285,30.714285714285715,0,1,0,2,1,0,1,2,294.0,30.916588516401248,0,0,0,0,0,1,0,1,0
565,울산,2021,31,8.085714285714285,1.8999999999999986,1.0,4.1,1.3857142857142857,0.033999999999999996,1.1857142857142857,0.08042857142857142,0.03542857142857143,58.57142857142857,35.42857142857143,0,3,2,2,0,0,0,0,22.0,19.614975855747904,0,0,0,0,0,1,0,0,1
566,인천,2021,31,6.599999999999999,1.9666666666666686,1.7333333333333307,6.8,2.3428571428571425,0.007857142857142858,0.7142857142857143,0.09214285714285715,0.033999999999999996,42.857142857142854,27.0,0,0,0,1,0,3,1,2,94.0,31.88196888116335,0,0,0,0,0,1,0,0,1
567,광주,2021,32,7.857142857142856,3.1000000000000014,2.1000000000000014,4.6,1.2285714285714284,0.009285714285714286,1.0571428571428572,0.08628571428571429,0.030857142857142857,46.142857142857146,29.0,0,1,0,2,3,1,0,0,33.0,22.89105729631641,0,0,0,0,0,1,0,0,1
568,대구,2021,32,7.942857142857143,4.699999999999999,1.7999999999999972,5.7,2.0142857142857142,0.005714285714285714,0.7000000000000001,0.07557142857142858,0.031857142857142855,45.142857142857146,27.142857142857142,0,1,4,2,0,0,0,0,69.0,28.92582078064502,0,0,0,0,0,1,0,1,0
569,대전,2021,32,8.614285714285714,3.5,1.1999999999999993,5.4,1.457142857142857,0.004857142857142858,0.7571428571428571,0.06857142857142857,0.019571428571428573,44.857142857142854,31.714285714285715,0,0,1,5,0,1,0,0,72.0,49.578206522150786,0,0,0,0,0,1,0,1,0
570,부산,2021,32,5.685714285714286,4.100000000000001,1.8000000000000007,6.4,2.557142857142857,0.0071428571428571435,0.7571428571428571,0.09028571428571429,0.040999999999999995,73.0,46.142857142857146,0,3,2,1,0,0,0,1,72.0,21.490099630489677,0,0,0,0,0,1,0,0,1
571,서울,2021,32,8.271428571428572,1.8999999999999986,1.0,4.8,2.242857142857143,0.017285714285714286,0.942857142857143,0.10128571428571428,0.04042857142857143,57.285714285714285,38.42857142857143,0,3,1,0,1,0,0,2,268.0,28.18246844352223,0,0,0,0,0,1,0,1,0
572,울산,2021,32,6.299999999999999,2.3999999999999986,2.3000000000000007,4.9,1.8857142857142857,0.03314285714285715,0.8714285714285716,0.06028571428571428,0.034999999999999996,53.0,31.428571428571427,0,2,1,0,0,1,0,3,27.0,24.072924913872427,0,0,0,0,1,0,0,0,1
573,인천,2021,32,7.285714285714286,1.2333333333333378,0.3666666666666636,5.2,2.3714285714285714,0.008142857142857143,0.8857142857142858,0.10142857142857142,0.041999999999999996,47.285714285714285,30.857142857142858,0,2,1,0,0,2,0,2,94.0,31.88196888116335,0,0,0,0,0,1,0,1,0
574,광주,2021,33,8.042857142857143,3.900000000000002,3.400000000000002,6.3,1.3571428571428572,0.007857142857142858,1.0714285714285714,0.07514285714285715,0.03,41.857142857142854,23.142857142857142,0,2,0,2,3,0,0,0,30.0,20.810052087560376,0,0,0,0,1,0,0,0,1
575,대구,2021,33,7.0,5.699999999999999,2.1999999999999993,5.4,1.7571428571428573,0.004714285714285714,0.6285714285714287,0.07628571428571429,0.029428571428571432,35.57142857142857,20.428571428571427,0,0,3,3,0,1,0,0,63.0,26.410532017110672,0,0,0,0,1,0,0,1,0
576,대전,2021,33,7.728571428571429,2.6999999999999993,1.8000000000000007,5.9,1.8142857142857143,0.004,0.5857142857142856,0.0662857142857143,0.018285714285714287,29.428571428571427,20.857142857142858,0,0,0,3,3,1,0,0,45.0,30.98637907634424,0,0,0,0,0,1,0,1,0
577,부산,2021,33,5.685714285714286,4.0,3.3999999999999986,13.8,3.5285714285714285,0.006285714285714285,0.5428571428571428,0.07985714285714285,0.040428571428571425,53.42857142857143,32.0,0,3,2,0,1,1,0,0,78.0,23.280941266363815,0,0,0,0,1,0,0,0,1
578,서울,2021,33,8.257142857142856,1.5,1.6000000000000014,6.7,2.457142857142857,0.012,0.7999999999999999,0.09014285714285715,0.037,50.57142857142857,27.857142857142858,0,3,0,2,0,1,1,0,265.0,27.866993050497726,0,0,0,0,0,1,0,1,0
579,울산,2021,33,5.2285714285714295,6.199999999999999,1.5,5.2,2.2285714285714286,0.035,1.2714285714285716,0.06999999999999999,0.04171428571428571,48.857142857142854,23.714285714285715,2,1,0,0,2,1,0,1,23.0,20.506565667372804,0,0,0,0,1,0,0,0,1
580,인천,2021,33,6.876190476190475,2.2666666666666693,1.0999999999999979,8.8,2.8857142857142857,0.0051428571428571435,0.7571428571428571,0.08399999999999999,0.045714285714285714,39.714285714285715,23.857142857142858,1,2,0,2,0,1,0,1,75.0,25.43774112858778,0,0,0,0,1,0,0,1,0
581,광주,2021,34,6.242857142857142,2.6000000000000014,2.8999999999999986,8.0,1.5,0.008142857142857143,1.1857142857142857,0.06957142857142858,0.03457142857142857,53.142857142857146,30.571428571428573,0,2,0,1,4,0,0,0,39.0,27.05306771382849,0,0,0,0,1,0,0,0,1
582,대구,2021,34,7.314285714285715,6.699999999999999,1.3999999999999986,7.0,1.342857142857143,0.006,0.7714285714285715,0.07785714285714286,0.037571428571428575,58.285714285714285,33.714285714285715,0,0,3,0,0,0,4,0,63.0,26.410532017110672,0,0,0,0,1,0,0,1,0
583,대전,2021,34,5.285714285714286,4.300000000000001,1.0,4.9,1.0,0.0041428571428571434,0.6714285714285714,0.05714285714285715,0.02057142857142857,48.714285714285715,27.571428571428573,0,3,0,0,2,2,0,0,56.0,38.56082729500616,0,0,0,0,1,0,0,0,1
584,부산,2021,34,5.0,4.100000000000001,1.5,18.0,3.942857142857143,0.006285714285714285,0.7142857142857143,0.07671428571428572,0.04842857142857143,70.85714285714286,40.57142857142857,0,0,1,1,2,3,0,0,88.0,26.265677326154048,0,0,0,0,0,1,0,0,1
585,서울,2021,34,5.014285714285714,2.6999999999999993,2.3999999999999986,6.1,1.9857142857142858,0.010285714285714287,0.9142857142857144,0.07871428571428571,0.04542857142857143,67.0,35.285714285714285,0,1,0,2,1,2,0,1,243.0,25.55350683498471,0,0,0,0,1,0,0,0,1
586,울산,2021,34,6.714285714285714,5.899999999999999,1.8999999999999986,6.2,1.5571428571428572,0.03685714285714286,1.4000000000000001,0.07814285714285714,0.05928571428571429,71.0,44.285714285714285,0,1,2,0,2,0,0,2,18.0,16.04861660924828,0,0,0,0,0,1,0,0,1
587,인천,2021,34,4.90952380952381,1.9666666666666686,1.7666666666666622,8.4,2.742857142857143,0.0071428571428571435,0.8857142857142858,0.07471428571428572,0.04471428571428571,60.42857142857143,33.42857142857143,0,0,0,2,1,3,0,1,86.0,29.168609827447323,0,0,0,0,1,0,0,0,1
588,광주,2021,35,6.114285714285714,3.5,0.40000000000000213,5.2,1.2428571428571427,0.008285714285714285,1.1428571428571428,0.07057142857142858,0.028571428571428574,40.57142857142857,23.285714285714285,0,2,0,1,2,2,0,0,47.0,32.602414937177926,0,0,0,0,1,0,0,0,1
589,대구,2021,35,6.6000000000000005,4.100000000000001,0.6999999999999993,5.9,1.8714285714285714,0.004857142857142858,0.6857142857142857,0.06971428571428571,0.031142857142857142,48.857142857142854,25.571428571428573,0,1,2,3,0,0,0,1,79.0,33.11796871986894,0,0,0,0,1,0,0,1,0
590,대전,2021,35,6.314285714285715,2.900000000000002,1.5,4.7,1.5142857142857142,0.004,0.7142857142857143,0.04828571428571428,0.02142857142857143,37.857142857142854,21.571428571428573,0,0,0,6,0,1,0,0,65.0,44.75810311027501,0,0,0,0,1,0,0,0,1
591,부산,2021,35,5.685714285714285,1.3000000000000007,0.8000000000000007,8.5,2.7285714285714286,0.008571428571428572,0.6428571428571429,0.072,0.044571428571428574,60.42857142857143,39.57142857142857,0,5,0,1,1,0,0,0,73.0,21.788573236468697,0,0,0,0,1,0,0,0,1
592,서울,2021,35,7.071428571428571,2.8000000000000007,2.1999999999999993,4.9,2.4285714285714284,0.01,1.042857142857143,0.07542857142857143,0.04085714285714286,62.714285714285715,29.285714285714285,0,6,0,0,0,1,0,0,294.0,30.916588516401248,0,0,0,0,1,0,0,1,0
